raceId,year,circuitId,driverId,constructorId,grid,positionOrder,statusId
23,2008,6,16,10,18,15,4
23,2008,6,3,3,6,16,3
23,2008,6,12,4,17,17,3
23,2008,6,21,10,20,18,6
23,2008,6,14,9,15,19,3
23,2008,6,7,5,16,20,4
24,2008,7,9,2,2,1,1
24,2008,7,2,2,8,2,1
24,2008,7,14,9,13,3,1
24,2008,7,10,7,11,4,1
24,2008,7,13,6,6,5,1
24,2008,7,15,7,14,6,1
24,2008,7,22,11,9,7,1
24,2008,7,20,5,19,8,1
24,2008,7,5,1,7,9,1
24,2008,7,3,3,5,10,1
24,2008,7,18,11,20,11,1
24,2008,7,17,9,10,12,1
24,2008,7,7,5,18,13,11
24,2008,7,21,10,17,14,20
24,2008,7,6,3,12,15,3
24,2008,7,4,4,4,16,20
24,2008,7,12,4,15,17,23
24,2008,7,8,6,3,18,4
24,2008,7,1,1,1,19,4
24,2008,7,16,10,16,20,6
25,2008,8,13,6,2,1,1
25,2008,8,8,6,1,2,1
25,2008,8,15,7,4,3,1
25,2008,8,5,1,10,4,1
25,2008,8,9,2,5,5,1
25,2008,8,17,9,6,6,1
25,2008,8,12,4,9,7,1
25,2008,8,4,4,3,8,1
25,2008,8,14,9,7,9,1
25,2008,8,1,1,13,10,1
25,2008,8,10,7,8,11,1
25,2008,8,20,5,12,12,1
25,2008,8,2,2,11,13,1
25,2008,8,22,11,20,14,11
25,2008,8,6,3,15,15,11
25,2008,8,3,3,19,16,11
25,2008,8,7,5,14,17,11
25,2008,8,21,10,17,18,11
25,2008,8,16,10,18,19,11
25,2008,8,18,11,16,20,4
26,2008,9,1,1,4,1,1
26,2008,9,2,2,5,2,1
26,2008,9,22,11,16,3,1
26,2008,9,8,6,3,4,11
26,2008,9,5,1,1,5,11
26,2008,9,4,4,6,6,11
26,2008,9,15,7,14,7,11
26,2008,9,6,3,15,8,11
26,2008,9,3,3,20,9,11
26,2008,9,17,9,2,10,11
26,2008,9,7,5,13,11,11
26,2008,9,10,7,12,12,11
26,2008,9,13,6,9,13,12
26,2008,9,9,2,10,14,20
26,2008,9,18,11,17,15,20
26,2008,9,12,4,7,16,20
26,2008,9,21,10,19,17,20
26,2008,9,16,10,18,18,20
26,2008,9,20,5,8,19,4
26,2008,9,14,9,11,20,4
27,2008,10,1,1,1,1,1
27,2008,10,12,4,17,2,1
27,2008,10,13,6,2,3,1
27,2008,10,2,2,12,4,1
27,2008,10,5,1,3,5,1
27,2008,10,8,6,6,6,1
27,2008,10,9,2,7,7,1
27,2008,10,20,5,9,8,1
27,2008,10,15,7,4,9,1
27,2008,10,3,3,13,10,1
27,2008,10,4,4,5,11,1
27,2008,10,7,5,15,12,1
27,2008,10,14,9,10,13,1
27,2008,10,6,3,16,14,1
27,2008,10,16,10,19,15,1
27,2008,10,21,10,20,16,1
27,2008,10,18,11,14,17,11
27,2008,10,22,11,18,18,4
27,2008,10,17,9,8,19,5
27,2008,10,10,7,11,20,22
28,2008,11,5,1,2,1,1
28,2008,11,10,7,5,2,1
28,2008,11,8,6,6,3,1
28,2008,11,4,4,7,4,1
28,2008,11,1,1,1,5,1
28,2008,11,12,4,10,6,1
28,2008,11,15,7,9,7,1
28,2008,11,9,2,4,8,1
28,2008,11,17,9,8,9,1
28,2008,11,2,2,15,10,1
28,2008,11,14,9,13,11,1
28,2008,11,18,11,12,12,11
28,2008,11,6,3,16,13,11
28,2008,11,3,3,14,14,11
28,2008,11,21,10,18,15,11
28,2008,11,22,11,17,16,12
28,2008,11,13,6,3,17,5
28,2008,11,7,5,19,18,13
28,2008,11,16,10,20,19,23
28,2008,11,20,5,11,20,25
29,2008,12,13,6,1,1,1
29,2008,12,1,1,2,2,1
29,2008,12,9,2,3,3,1
29,2008,12,5,1,5,4,1
29,2008,12,15,7,7,5,1
29,2008,12,20,5,6,6,1
29,2008,12,10,7,13,7,1
29,2008,12,3,3,9,8,1
29,2008,12,2,2,8,9,1
29,2008,12,7,5,10,10,1
29,2008,12,12,4,15,11,1
29,2008,12,17,9,14,12,11
29,2008,12,18,11,16,13,11
29,2008,12,21,10,18,14,11
29,2008,12,6,3,11,15,11
29,2008,12,22,11,19,16,11
29,2008,12,14,9,17,17,11
29,2008,12,8,6,4,18,5
29,2008,12,16,10,20,19,3
29,2008,12,4,4,12,20,4
30,2008,13,13,6,2,1,1
30,2008,13,2,2,5,2,1
30,2008,13,1,1,1,3,1
30,2008,13,4,4,6,4,1
30,2008,13,20,5,10,5,1
30,2008,13,9,2,8,6,1
30,2008,13,7,5,9,7,1
30,2008,13,17,9,7,8,1
30,2008,13,10,7,13,9,1
30,2008,13,5,1,3,10,6
30,2008,13,14,9,14,11,11
30,2008,13,3,3,15,12,11
30,2008,13,16,10,18,13,11
30,2008,13,6,3,19,14,11
30,2008,13,18,11,17,15,11
30,2008,13,15,7,11,16,11
30,2008,13,21,10,20,17,11
30,2008,13,8,6,4,18,20
30,2008,13,22,11,16,19,6
30,2008,13,12,4,12,20,20
31,2008,14,20,5,1,1,1
31,2008,14,5,1,2,2,1
31,2008,14,9,2,11,3,1
31,2008,14,4,4,8,4,1
31,2008,14,2,2,10,5,1
31,2008,14,13,6,6,6,1
31,2008,14,1,1,15,7,1
31,2008,14,17,9,3,8,1
31,2008,14,8,6,14,9,1
31,2008,14,12,4,17,10,1
31,2008,14,10,7,9,11,1
31,2008,14,6,3,18,12,1
31,2008,14,15,7,7,13,1
31,2008,14,3,3,5,14,1
31,2008,14,18,11,19,15,1
31,2008,14,14,9,13,16,11
31,2008,14,22,11,16,17,11
31,2008,14,7,5,4,18,11
31,2008,14,16,10,20,19,12
31,2008,14,21,10,12,20,3
32,2008,15,4,4,15,1,1
32,2008,15,3,3,8,2,1
32,2008,15,1,1,2,3,1
32,2008,15,10,7,7,4,1
32,2008,15,20,5,6,5,1
32,2008,15,2,2,9,6,1
32,2008,15,14,9,14,7,1
32,2008,15,6,3,10,8,1
32,2008,15,18,11,12,9,1
32,2008,15,5,1,5,10,1
32,2008,15,9,2,4,11,1
32,2008,15,7,5,17,12,1
32,2008,15,13,6,1,13,1
32,2008,15,21,10,20,14,1
32,2008,15,8,6,3,15,3
32,2008,15,15,7,11,16,9
32,2008,15,16,10,19,17,3
32,2008,15,17,9,13,18,7
32,2008,15,22,11,18,19,26
32,2008,15,12,4,16,20,3
33,2008,16,4,4,4,1,1
33,2008,16,9,2,6,2,1
33,2008,16,8,6,2,3,1
33,2008,16,12,4,12,4,1
33,2008,16,15,7,7,5,1
33,2008,16,20,5,9,6,1
33,2008,16,13,6,5,7,1
33,2008,16,17,9,13,8,1
33,2008,16,2,2,16,9,1
33,2008,16,7,5,10,10,1
33,2008,16,3,3,15,11,1
33,2008,16,1,1,1,12,1
33,2008,16,22,11,17,13,11
33,2008,16,18,11,18,14,11
33,2008,16,6,3,14,15,11
33,2008,16,21,10,20,16,6
33,2008,16,5,1,3,17,5
33,2008,16,16,10,19,18,27
33,2008,16,10,7,8,19,28
33,2008,16,14,9,11,20,4
34,2008,17,1,1,1,1,1
34,2008,17,13,6,3,2,1
34,2008,17,8,6,2,3,1
34,2008,17,4,4,4,4,1
34,2008,17,2,2,9,5,1
34,2008,17,9,2,11,6,1
34,2008,17,10,7,12,7,1
34,2008,17,12,4,10,8,1
34,2008,17,20,5,6,9,1
34,2008,17,14,9,15,10,1
34,2008,17,22,11,13,11,1
34,2008,17,6,3,17,12,1
34,2008,17,7,5,8,13,1
34,2008,17,17,9,16,14,1
34,2008,17,3,3,14,15,11
34,2008,17,18,11,18,16,11
34,2008,17,21,10,20,17,11
34,2008,17,5,1,5,18,9
34,2008,17,16,10,19,19,5
34,2008,17,15,7,7,20,4
35,2008,18,13,6,1,1,1
35,2008,18,4,4,6,2,1
35,2008,18,8,6,3,3,1
35,2008,18,20,5,7,4,1
35,2008,18,1,1,4,5,1
35,2008,18,10,7,10,6,1
35,2008,18,5,1,5,7,1
35,2008,18,15,7,2,8,1
35,2008,18,17,9,12,9,1
35,2008,18,2,2,8,10,11
35,2008,18,9,2,13,11,11
35,2008,18,3,3,18,12,11
35,2008,18,18,11,17,13,11
35,2008,18,7,5,9,14,11
35,2008,18,22,11,15,15,11
35,2008,18,16,10,20,16,12
35,2008,18,6,3,16,17,12
35,2008,18,21,10,19,18,12
35,2008,18,12,4,11,19,3
35,2008,18,14,9,14,20,4
36,2007,1,8,6,1,1,1
36,2007,1,4,1,2,2,1
36,2007,1,1,1,4,3,1
36,2007,1,2,2,3,4,1
36,2007,1,21,4,6,5,1
36,2007,1,13,6,22,6,1
36,2007,1,3,3,12,7,11
36,2007,1,23,7,9,8,11
36,2007,1,15,7,8,9,11
36,2007,1,5,4,13,10,11
36,2007,1,22,11,16,11,11
36,2007,1,11,8,10,12,11
36,2007,1,17,9,7,13,11
36,2007,1,24,5,19,14,11
36,2007,1,18,11,14,15,11
36,2007,1,19,8,11,16,12
36,2007,1,16,12,20,17,12
36,2007,1,25,3,15,18,4
36,2007,1,14,9,18,19,4
36,2007,1,9,2,5,20,6
36,2007,1,26,5,17,21,29
36,2007,1,27,12,21,22,3
37,2007,2,4,1,2,1,1
37,2007,2,1,1,4,2,1
37,2007,2,8,6,3,3,1
37,2007,2,2,2,5,4,1
37,2007,2,13,6,1,5,1
37,2007,2,21,4,12,6,1
37,2007,2,15,7,8,7,1
37,2007,2,5,4,11,8,1
37,2007,2,25,3,19,9,1
37,2007,2,17,9,10,10,1
37,2007,2,22,11,22,11,11
37,2007,2,18,11,15,12,11
37,2007,2,11,8,14,13,11
37,2007,2,26,5,17,14,11
37,2007,2,23,7,9,15,11
37,2007,2,19,8,18,16,11
37,2007,2,24,5,16,17,11
37,2007,2,9,2,7,18,11
37,2007,2,3,3,6,19,9
37,2007,2,14,9,13,20,23
37,2007,2,27,12,20,21,5
37,2007,2,16,12,21,22,4
38,2007,3,13,6,1,1,1
38,2007,3,1,1,2,2,1
38,2007,3,8,6,3,3,1
38,2007,3,2,2,5,4,1
38,2007,3,4,1,4,5,1
38,2007,3,9,2,6,6,1
38,2007,3,15,7,9,7,1
38,2007,3,21,4,7,8,1
38,2007,3,5,4,12,9,1
38,2007,3,3,3,10,10,1
38,2007,3,25,3,11,11,11
38,2007,3,23,7,14,12,11
38,2007,3,22,11,15,13,11
38,2007,3,27,12,22,14,12
38,2007,3,16,12,20,15,14
38,2007,3,19,8,13,16,5
38,2007,3,17,9,8,17,6
38,2007,3,14,9,21,18,30
38,2007,3,11,8,17,19,5
38,2007,3,24,5,18,20,9
38,2007,3,18,11,16,21,4
38,2007,3,26,5,19,22,4
39,2007,4,13,6,1,1,1
39,2007,4,1,1,4,2,1
39,2007,4,4,1,2,3,1
39,2007,4,9,2,5,4,1
39,2007,4,14,9,9,5,1
39,2007,4,3,3,11,6,1
39,2007,4,5,4,8,7,1
39,2007,4,11,8,13,8,11
39,2007,4,21,4,10,9,11
39,2007,4,22,11,12,10,11
39,2007,4,19,8,15,11,11
39,2007,4,18,11,14,12,11
39,2007,4,16,12,20,13,12
39,2007,4,27,12,21,14,12
39,2007,4,2,2,7,15,6
39,2007,4,23,7,17,16,22
39,2007,4,24,5,16,17,31
39,2007,4,26,5,22,18,27
39,2007,4,8,6,3,19,22
39,2007,4,15,7,6,20,32
39,2007,4,17,9,19,21,9
39,2007,4,25,3,18,22,4
40,2007,6,4,1,1,1,1
40,2007,6,1,1,2,2,1
40,2007,6,13,6,3,3,1
40,2007,6,21,4,4,4,11
40,2007,6,9,2,8,5,11
40,2007,6,2,2,7,6,11
40,2007,6,25,3,11,7,11
40,2007,6,8,6,16,8,11
40,2007,6,26,5,18,9,11
40,2007,6,22,11,9,10,11
40,2007,6,18,11,10,11,11
40,2007,6,3,3,5,12,11
40,2007,6,5,4,15,13,5
40,2007,6,14,9,13,14,12
40,2007,6,15,7,14,15,12
40,2007,6,23,7,20,16,12
40,2007,6,11,8,21,17,12
40,2007,6,19,8,17,18,12
40,2007,6,27,12,22,19,30
40,2007,6,16,12,19,20,3
40,2007,6,17,9,6,21,6
40,2007,6,24,5,12,22,3
41,2007,7,1,1,1,1,1
41,2007,7,2,2,3,2,1
41,2007,7,25,3,19,3,1
41,2007,7,5,4,22,4,1
41,2007,7,8,6,4,5,1
41,2007,7,11,8,11,6,1
41,2007,7,4,1,2,7,1
41,2007,7,23,7,18,8,1
41,2007,7,17,9,6,9,1
41,2007,7,3,3,7,10,1
41,2007,7,19,8,17,11,1
41,2007,7,22,11,13,12,1
41,2007,7,15,7,10,13,3
41,2007,7,24,5,12,14,3
41,2007,7,27,12,21,15,33
41,2007,7,14,9,14,16,6
41,2007,7,9,2,8,17,3
41,2007,7,16,12,20,18,3
41,2007,7,26,5,16,19,3
41,2007,7,18,11,15,20,6
41,2007,7,13,6,5,21,2
41,2007,7,21,4,9,22,2
42,2007,19,1,1,1,1,1
42,2007,19,4,1,2,2,1
42,2007,19,13,6,3,3,1
42,2007,19,8,6,4,4,1
42,2007,19,5,4,6,5,1
42,2007,19,15,7,8,6,1
42,2007,19,17,9,9,7,1
42,2007,19,20,2,7,8,1
42,2007,19,21,4,10,9,11
42,2007,19,25,3,17,10,11
42,2007,19,19,8,16,11,11
42,2007,19,18,11,13,12,11
42,2007,19,26,5,20,13,12
42,2007,19,16,12,21,14,12
42,2007,19,27,12,22,15,13
42,2007,19,3,3,14,16,5
42,2007,19,24,5,19,17,34
42,2007,19,2,2,5,18,7
42,2007,19,11,8,18,19,20
42,2007,19,14,9,11,20,4
42,2007,19,22,11,15,21,4
42,2007,19,23,7,12,22,4
43,2007,8,8,6,3,1,1
43,2007,8,13,6,1,2,1
43,2007,8,1,1,2,3,1
43,2007,8,9,2,4,4,1
43,2007,8,2,2,7,5,1
43,2007,8,21,4,5,6,1
43,2007,8,4,1,10,7,1
43,2007,8,18,11,12,8,1
43,2007,8,3,3,9,9,1
43,2007,8,23,7,11,10,11
43,2007,8,22,11,13,11,11
43,2007,8,17,9,14,12,11
43,2007,8,14,9,16,13,11
43,2007,8,25,3,18,14,11
43,2007,8,5,4,6,15,11
43,2007,8,11,8,22,16,12
43,2007,8,16,12,21,17,12
43,2007,8,26,5,15,18,6
43,2007,8,27,12,20,19,35
43,2007,8,19,8,19,20,4
43,2007,8,15,7,8,21,4
43,2007,8,24,5,17,22,4
44,2007,9,8,6,2,1,1
44,2007,9,4,1,3,2,1
44,2007,9,1,1,1,3,1
44,2007,9,9,2,5,4,1
44,2007,9,13,6,4,5,1
44,2007,9,2,2,9,6,1
44,2007,9,5,4,7,7,11
44,2007,9,21,4,8,8,11
44,2007,9,22,11,14,9,11
44,2007,9,18,11,18,10,11
44,2007,9,14,9,12,11,11
44,2007,9,3,3,17,12,11
44,2007,9,25,3,13,13,11
44,2007,9,11,8,21,14,12
44,2007,9,27,12,22,15,12
44,2007,9,24,5,16,16,6
44,2007,9,15,7,10,17,31
44,2007,9,19,8,19,18,26
44,2007,9,26,5,15,19,3
44,2007,9,23,7,6,20,36
44,2007,9,16,12,20,21,5
44,2007,9,17,9,11,22,9
45,2007,20,4,1,2,1,1
45,2007,20,13,6,3,2,1
45,2007,20,17,9,6,3,1
45,2007,20,25,3,12,4,1
45,2007,20,14,9,20,5,1
45,2007,20,2,2,4,6,1
45,2007,20,9,2,5,7,1
45,2007,20,5,4,7,8,11
45,2007,20,1,1,10,9,11
45,2007,20,21,4,13,10,11
45,2007,20,22,11,14,11,11
45,2007,20,19,8,15,12,11
45,2007,20,15,7,8,13,11
45,2007,20,8,6,1,14,9
45,2007,20,11,8,16,15,31
45,2007,20,23,7,9,16,4
45,2007,20,28,12,22,17,9
45,2007,20,18,11,17,18,20
45,2007,20,16,12,21,19,20
45,2007,20,3,3,11,20,20
45,2007,20,26,5,18,21,20
45,2007,20,24,5,19,22,20
46,2007,11,1,1,1,1,1
46,2007,11,8,6,3,2,1
46,2007,11,2,2,2,3,1
46,2007,11,4,1,6,4,1
46,2007,11,9,2,7,5,1
46,2007,11,23,7,5,6,1
46,2007,11,3,3,4,7,1
46,2007,11,5,4,11,8,1
46,2007,11,17,9,9,9,1
46,2007,11,15,7,8,10,11
46,2007,11,14,9,10,11,11
46,2007,11,21,4,13,12,11
46,2007,11,13,6,14,13,11
46,2007,11,25,3,12,14,11
46,2007,11,11,8,19,15,11
46,2007,11,20,5,20,16,11
46,2007,11,16,12,21,17,12
46,2007,11,22,11,18,18,12
46,2007,11,24,5,16,19,10
46,2007,11,19,8,15,20,3
46,2007,11,18,11,17,21,37
46,2007,11,29,12,22,22,3
47,2007,5,13,6,1,1,1
47,2007,5,8,6,3,2,1
47,2007,5,4,1,4,3,1
47,2007,5,2,2,6,4,1
47,2007,5,1,1,2,5,1
47,2007,5,5,4,7,6,1
47,2007,5,3,3,8,7,1
47,2007,5,9,2,5,8,1
47,2007,5,21,4,10,9,1
47,2007,5,14,9,13,10,1
47,2007,5,25,3,14,11,1
47,2007,5,23,7,16,12,11
47,2007,5,18,11,21,13,11
47,2007,5,19,8,11,14,11
47,2007,5,24,5,15,15,11
47,2007,5,15,7,9,16,11
47,2007,5,22,11,22,17,11
47,2007,5,11,8,17,18,11
47,2007,5,20,5,18,19,11
47,2007,5,29,12,20,20,12
47,2007,5,16,12,19,21,32
47,2007,5,17,9,12,22,9
48,2007,14,4,1,1,1,1
48,2007,14,1,1,2,2,1
48,2007,14,8,6,5,3,1
48,2007,14,2,2,4,4,1
48,2007,14,9,2,6,5,1
48,2007,14,3,3,8,6,1
48,2007,14,5,4,7,7,1
48,2007,14,18,11,10,8,1
48,2007,14,17,9,11,9,1
48,2007,14,22,11,12,10,1
48,2007,14,15,7,9,11,1
48,2007,14,21,4,15,12,11
48,2007,14,25,3,13,13,11
48,2007,14,19,8,14,14,11
48,2007,14,23,7,18,15,11
48,2007,14,11,8,17,16,11
48,2007,14,24,5,19,17,11
48,2007,14,20,5,16,18,11
48,2007,14,16,12,21,19,11
48,2007,14,29,12,22,20,11
48,2007,14,13,6,3,21,22
48,2007,14,14,9,20,22,3
49,2007,13,8,6,1,1,1
49,2007,13,13,6,2,2,1
49,2007,13,4,1,3,3,1
49,2007,13,1,1,4,4,1
49,2007,13,2,2,6,5,1
49,2007,13,3,3,5,6,1
49,2007,13,17,9,7,7,1
49,2007,13,5,4,9,8,1
49,2007,13,9,2,14,9,1
49,2007,13,23,7,10,10,1
49,2007,13,15,7,8,11,1
49,2007,13,24,5,13,12,11
49,2007,13,22,11,17,13,11
49,2007,13,16,12,19,14,11
49,2007,13,11,8,18,15,11
49,2007,13,19,8,20,16,11
49,2007,13,29,12,21,17,11
49,2007,13,18,11,12,18,9
49,2007,13,25,3,15,19,32
49,2007,13,14,9,11,20,9
49,2007,13,20,5,16,21,38
49,2007,13,21,4,22,22,22
50,2007,16,1,1,1,1,1
50,2007,16,5,4,11,2,1
50,2007,16,8,6,3,3,1
50,2007,16,14,9,12,4,1
50,2007,16,21,4,10,5,1
50,2007,16,13,6,4,6,1
50,2007,16,9,2,9,7,1
50,2007,16,16,12,20,8,1
50,2007,16,24,5,14,9,1
50,2007,16,22,11,17,10,1
50,2007,16,18,11,6,11,22
50,2007,16,29,12,22,12,11
50,2007,16,15,7,13,13,11
50,2007,16,2,2,5,14,39
50,2007,16,11,8,21,15,4
50,2007,16,23,7,15,16,29
50,2007,16,19,8,19,17,37
50,2007,16,3,3,16,18,40
50,2007,16,20,5,8,19,4
50,2007,16,17,9,7,20,4
50,2007,16,4,1,2,21,3
50,2007,16,25,3,18,22,4
51,2007,17,8,6,2,1,1
51,2007,17,4,1,4,2,1
51,2007,17,13,6,3,3,1
51,2007,17,20,5,17,4,1
51,2007,17,18,11,10,5,1
51,2007,17,24,5,11,6,1
51,2007,17,2,2,8,7,1
51,2007,17,14,9,5,8,1
51,2007,17,5,4,13,9,1
51,2007,17,17,9,7,10,1
51,2007,17,21,4,18,11,1
51,2007,17,25,3,19,12,11
51,2007,17,15,7,12,13,11
51,2007,17,11,8,20,14,11
51,2007,17,22,11,16,15,11
51,2007,17,3,3,15,16,12
51,2007,17,29,12,22,17,13
51,2007,17,9,2,9,18,9
51,2007,17,1,1,1,19,20
51,2007,17,23,7,6,20,20
51,2007,17,16,12,21,21,3
51,2007,17,19,8,14,22,23
52,2007,18,8,6,3,1,1
52,2007,18,13,6,1,2,1
52,2007,18,4,1,4,3,1
52,2007,18,3,3,10,4,1
52,2007,18,9,2,7,5,1
52,2007,18,2,2,6,6,1
52,2007,18,1,1,2,7,11
52,2007,18,15,7,8,8,11
52,2007,18,14,9,9,9,11
52,2007,18,6,3,19,10,11
52,2007,18,23,7,15,11,11
52,2007,18,11,8,18,12,12
52,2007,18,24,5,14,13,12
52,2007,18,19,8,20,14,13
52,2007,18,16,12,21,15,23
52,2007,18,22,11,11,16,5
52,2007,18,5,4,17,17,3
52,2007,18,20,5,13,18,9
52,2007,18,18,11,16,19,5
52,2007,18,17,9,5,20,6
52,2007,18,29,12,22,21,4
52,2007,18,21,4,12,22,4
53,2006,3,4,4,4,1,1
53,2006,3,30,6,1,2,1
53,2006,3,8,1,22,3,1
53,2006,3,18,11,3,4,1
53,2006,3,31,1,5,5,1
53,2006,3,17,3,7,6,1
53,2006,3,3,3,12,7,1
53,2006,3,32,9,8,8,1
53,2006,3,13,6,2,9,1
53,2006,3,14,9,13,10,1
53,2006,3,24,5,15,11,1
53,2006,3,2,2,10,12,11
53,2006,3,26,5,16,13,11
53,2006,3,23,7,17,14,11
53,2006,3,22,11,6,15,11
53,2006,3,15,7,14,16,11
53,2006,3,33,13,19,17,12
53,2006,3,11,8,20,18,14
53,2006,3,34,8,21,19,26
53,2006,3,35,2,11,20,5
53,2006,3,21,4,9,21,9
53,2006,3,27,13,18,22,30
54,2006,2,21,4,1,1,1
54,2006,2,4,4,7,2,1
54,2006,2,18,11,2,3,1
54,2006,2,31,1,5,4,1
54,2006,2,13,6,21,5,1
54,2006,2,30,6,14,6,1
54,2006,2,35,2,10,7,1
54,2006,2,23,7,22,8,1
54,2006,2,15,7,9,9,11
54,2006,2,22,11,20,10,11
54,2006,2,24,5,13,11,12
54,2006,2,27,13,15,12,12
54,2006,2,33,13,16,13,12
54,2006,2,11,8,17,14,13
54,2006,2,2,2,11,15,5
54,2006,2,26,5,12,16,8
54,2006,2,34,8,18,17,26
54,2006,2,32,9,8,18,9
54,2006,2,17,3,4,19,9
54,2006,2,14,9,19,20,9
54,2006,2,3,3,3,21,5
54,2006,2,8,1,6,22,3
55,2006,1,4,4,3,1,1
55,2006,1,8,1,4,2,1
55,2006,1,23,7,6,3,1
55,2006,1,2,2,8,4,1
55,2006,1,21,4,2,5,1
55,2006,1,35,2,19,6,1
55,2006,1,22,11,16,7,1
55,2006,1,14,9,11,8,1
55,2006,1,26,5,18,9,1
55,2006,1,18,11,1,10,11
55,2006,1,27,13,17,11,11
55,2006,1,11,8,21,12,12
55,2006,1,34,8,22,13,13
55,2006,1,31,1,5,14,10
55,2006,1,33,13,20,15,26
55,2006,1,24,5,12,16,3
55,2006,1,30,6,10,17,3
55,2006,1,17,3,7,18,7
55,2006,1,32,9,13,19,3
55,2006,1,15,7,9,20,3
55,2006,1,3,3,14,21,3
55,2006,1,13,6,15,22,3
56,2006,21,30,6,1,1,1
56,2006,21,4,4,5,2,1
56,2006,21,31,1,7,3,1
56,2006,21,13,6,4,4,1
56,2006,21,8,1,8,5,1
56,2006,21,17,3,10,6,1
56,2006,21,18,11,2,7,1
56,2006,21,21,4,11,8,1
56,2006,21,23,7,6,9,1
56,2006,21,22,11,3,10,1
56,2006,21,3,3,13,11,1
